OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
11-1021,General and Operations Managers,2984920,60690.0,97970.0,151750.0,0.5748773
11-2011,Advertising and Promotions Managers,22520,94020.0,127150.0,172210.0,1.294387
11-2021,Marketing Managers,278690,100010.0,135030.0,192520.0,1.315032
11-2022,Sales Managers,453800,84450.0,127490.0,173010.0,1.26628
11-3021,Computer and Information Systems Managers,485190,122820.0,159010.0,198750.0,1.059853
11-3031,Financial Managers,681070,99620.0,131710.0,191860.0,1.446232
11-3051,Industrial Production Managers,192270,80190.0,103150.0,134130.0,0.5086878
11-3061,Purchasing Managers,69310,98720.0,127150.0,162630.0,1.423426
11-3071,"Transportation, Storage, and Distribution Managers",144640,75290.0,98230.0,126600.0,0.8907923
11-3111,Compensation and Benefits Managers,15330,98720.0,127530.0,163870.0,1.298235
11-3121,Human Resources Managers,166530,95310.0,126230.0,163360.0,1.320417
11-3131,Training and Development Managers,35830,90980.0,120130.0,161520.0,1.284423
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5220,49940.0,73060.0,96520.0,-0.1443684
11-9021,Construction Managers,284750,76960.0,98890.0,127110.0,1.029139
11-9031,"Education and Childcare Administrators, Preschool and Daycare",56430,37200.0,47310.0,60010.0,0.838007
11-9032,"Education Administrators, Kindergarten through Secondary",274710,77450.0,98420.0,125520.0,1.048811
11-9033,"Education Administrators, Postsecondary",155990,74730.0,96910.0,128020.0,1.461149
11-9039,"Education Administrators, All Other",49970,62190.0,90560.0,119400.0,0.3541265
11-9041,Architectural and Engineering Managers,187100,125470.0,152350.0,190420.0,0.8370105
11-9051,Food Service Managers,210680,46590.0,59440.0,76130.0,-0.1213112
11-9071,Gambling Managers,3660,60150.0,76910.0,100170.0,0.8299207
11-9081,Lodging Managers,35920,46400.0,59430.0,77510.0,0.4021726
11-9111,Medical and Health Services Managers,436770,77750.0,101340.0,135750.0,1.260259
11-9121,Natural Sciences Managers,74760,101400.0,137900.0,202910.0,1.327906
11-9131,Postmasters and Mail Superintendents,12750,74030.0,80250.0,89610.0,0.8233757
11-9141,"Property, Real Estate, and Community Association Managers",234680,42420.0,59230.0,79420.0,1.215396
11-9151,Social and Community Service Managers,156400,58490.0,74000.0,93950.0,1.156153
11-9161,Emergency Management Directors,10320,59350.0,76730.0,100450.0,1.030768
11-9199,"Managers, All Other",497890,80890.0,124650.0,162380.0,0.9646872
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",12480,61160.0,78410.0,162930.0,1.068559
13-1031,"Claims Adjusters, Examiners, and Investigators",278140,49620.0,65080.0,81890.0,1.274024
13-1032,"Insurance Appraisers, Auto Damage",11430,58850.0,62680.0,79110.0,0.6634955
13-1041,Compliance Officers,334340,50020.0,71650.0,96660.0,0.6981205
13-1051,Cost Estimators,208950,49600.0,65170.0,89210.0,1.367669
13-1071,Human Resources Specialists,740830,48080.0,62290.0,81090.0,1.36005
13-1074,Farm Labor Contractors,440,38140.0,47770.0,61700.0,-0.4354025
13-1075,Labor Relations Specialists,63810,49310.0,77010.0,100180.0,1.334834
13-1081,Logisticians,189320,59740.0,77030.0,98680.0,1.297303
13-1111,Management Analysts,768450,64150.0,93000.0,124430.0,1.432417
13-1121,"Meeting, Convention, and Event Planners",98150,38430.0,49470.0,67480.0,0.3740207
13-1131,Fundraisers,82080,47250.0,60660.0,78470.0,1.242567
13-1141,"Compensation, Benefits, and Job Analysis Specialists",87750,49800.0,64120.0,83720.0,1.440985
13-1151,Training and Development Specialists,336030,47040.0,61570.0,80510.0,1.198409
